"filename", "language", "GLSL", "C++", "XML", "CMake", "comment", "blank", "total"
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_vec3.hpp", "C++", 0, 317, 0, 0, 24, 96, 437
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_vec3.inl", "C++", 0, 929, 0, 0, 13, 129, 1071
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_vec4.hpp", "C++", 0, 372, 0, 0, 36, 101, 509
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_vec4.inl", "C++", 0, 968, 0, 0, 13, 162, 1143
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/detail/type_vec4_simd.inl", "C++", 0, 688, 0, 0, 8, 93, 789
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/exponential.hpp", "C++", 0, 24, 0, 0, 74, 13, 111
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext.hpp", "C++", 0, 239, 0, 0, 3, 26, 268
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/_matrix_vectorize.hpp", "C++", 0, 98, 0, 0, 0, 31, 129
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_clip_space.hpp", "C++", 0, 137, 0, 0, 336, 50, 523
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_clip_space.inl", "C++", 0, 528, 0, 0, 1, 67, 596
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_common.hpp", "C++", 0, 16, 0, 0, 14, 10, 40
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_common.inl", "C++", 0, 28, 0, 0, 0, 7, 35
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_double2x2.hpp", "C++", 0, 7, 0, 0, 11, 6, 24
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_double2x2_precision.hpp", "C++", 0, 11, 0, 0, 29, 10, 50
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_double2x3.hpp", "C++", 0, 6, 0, 0, 8, 5, 19
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_double2x3_precision.hpp", "C++", 0, 8, 0, 0, 17, 7, 32
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_double2x4.hpp", "C++", 0, 6, 0, 0, 8, 5, 19
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_double2x4_precision.hpp", "C++", 0, 8, 0, 0, 17, 7, 32
